average power consumption,,speed [m/s],power effiency,amplification,method,,,leg length,CoT,,,,,,,,,
0.602840909,0.28,0.028,0.464467484,1,0.6L original,,,0.6,2.153003247,,,,,,,,0.6,3.301872659
0.637613636,0.36,0.036,0.56460524,1.2,0.6L original,,,0.6,1.77114899,,,,,,,,0.6,2.911985019
0.630227273,0.35,0.035,0.555355211,1.2,0.6L original,,,0.6,1.800649351,,,,,,,,0.6,2.596590909
0.679318182,0.48,0.048,0.706590833,1.4,0.6L original,,,0.6,1.415246212,,,,,,,,,
0.668181818,0.5,0.05,0.74829932,1.4,0.6L original,,,0.6,1.336363636,,,,,,,,,
0.707586207,0.675,0.0675,0.953947368,1.6,0.6L original,,,0.6,1.048275862,,,,,,,,,
0.744137931,0.71,0.071,0.954124189,1.6,0.6L original,,,0.6,1.048081593,,,,,,,,,
0.757471264,0.84,0.084,1.108952959,1.8,0.6L original,,,0.6,0.901751505,,,,,,,,,
0.774022989,0.81,0.081,1.046480546,1.8,0.6L original,,,0.6,0.955583936,,,,,,,,,
0.805287356,0.96,0.096,1.192121039,2,0.6L original,,,0.6,0.838840996,,,,,,,,,
0.799655172,0.9,0.09,1.125485123,2,0.6L original,,,0.6,0.888505747,,,,,,,,,
0.875697674,0.93,0.093,1.062010357,2.2,0.6L original,,,0.6,0.941610403,,,,,,,,,
0.395227273,0.25,0.025,0.632547441,1,0.6L sinusoid,,,0.6,1.580909091,,,,,,,,,
0.430454545,0.3,0.03,0.696937698,1,0.6L sinusoid,,,0.6,1.434848485,,,,,,,,,
0.425568182,0.285,0.0285,0.669692924,1,0.6L sinusoid,,,0.6,1.493221691,,,,,,,,,
0.487386364,0.375,0.0375,0.769410119,1.2,0.6L sinusoid,,,0.6,1.29969697,,,,,,,,,
0.501477273,0.39,0.039,0.777702243,1.2,0.6L sinusoid,,,0.6,1.285839161,,,,,,,,,
0.497386364,0.37,0.037,0.743888508,1.2,0.6L sinusoid,,,0.6,1.344287469,,,,,,,,,
0.56137931,0.525,0.0525,0.93519656,1.4,0.6L sinusoid,,,0.6,1.069293924,,,,,,,,,
0.616896552,0.54,0.054,0.875349357,1.4,0.6L sinusoid,,,0.6,1.142401022,,,,,,,,,
0.610689655,0.53,0.053,0.867871259,1.4,0.6L sinusoid,,,0.6,1.152244632,,,,,,,,,
0.643448276,0.69,0.069,1.072347267,1.6,0.6L sinusoid,,,0.6,0.932533733,,,,,,,,,
0.680804598,0.675,0.0675,0.991473915,1.6,0.6L sinusoid,,,0.6,1.008599404,,,,,,,,,
0.685747126,0.68,0.068,0.991619175,1.6,0.6L sinusoid,,,0.6,1.008451657,,,,,,,,,
0.687931034,0.75,0.075,1.090225564,1.8,0.6L sinusoid,,,0.6,0.917241379,,,,,,,,,
0.684609195,0.79,0.079,1.153943016,1.8,0.6L sinusoid,,,0.6,0.866593918,,,,,,,,,
0.685747126,0.81,0.081,1.181193429,1.8,0.6L sinusoid,,,0.6,0.846601391,,,,,,,,,
0.735,0.83,0.083,1.129251701,2,0.6L sinusoid,,,0.6,0.885542169,,,,,,,,,
0.73872093,0.89,0.089,1.204785141,2,0.6L sinusoid,,,0.6,0.830023517,,,,,,,,,
0.730581395,0.885,0.0885,1.211363998,2,0.6L sinusoid,,,0.6,0.825515701,,,,,,,,,
0.76244186,0.96,0.096,1.259112399,2.2,0.6L sinusoid,,,0.6,0.794210271,,,,,,,,,
0.748953488,0.98,0.098,1.30849247,2.2,0.6L sinusoid,,,0.6,0.764238253,,,,,,,,,
0.744651163,0.95,0.095,1.275765147,2.2,0.6L sinusoid,,,0.6,0.783843329,,,,,,,,,
0.825465116,1.03,0.103,1.247781378,2.4,0.6L sinusoid,,,0.6,0.801422443,,,,,,,,,
0.801627907,1.01,0.101,1.259936176,2.4,0.6L sinusoid,,,0.6,0.793690997,,,,,,,,,
0.831323447,1.04,0.104,1.251017283,2.4,0.6L sinusoid,,,0.6,0.799349469,,,,,,,,,
0.463492063,0.26,0.026,0.560958904,1,0.6L PSTO,,,0.6,1.782661783,,,,,,,,,
0.529491525,0.27,0.027,0.509923176,1,0.6L PSTO,,,0.6,1.961079722,,,,,,,,,
0.483492063,0.25,0.025,0.517071569,1,0.6L PSTO,,,0.6,1.933968254,,,,,,,,,
0.580441176,0.44,0.044,0.758044085,1.2,0.6L PSTO,,,0.6,1.319184491,,,,,,,,,
0.549562044,0.49,0.049,0.891619073,1.2,0.6L PSTO,,,0.6,1.121555191,,,,,,,,,
0.549927007,0.5,0.05,0.909211574,1.2,0.6L PSTO,,,0.6,1.099854015,,,,,,,,,
0.595661765,0.64,0.064,1.074435255,1.4,0.6L PSTO,,,0.6,0.930721507,,,,,,,,,
0.574191176,0.6,0.06,1.044948137,1.4,0.6L PSTO,,,0.6,0.956985294,,,,,,,,,
0.615220588,0.61,0.061,0.991514282,1.4,0.6L PSTO,,,0.6,1.008558341,,,,,,,,,
0.685,0.81,0.081,1.182481752,1.6,0.6L PSTO,,,0.6,0.845679012,,,,,,,,,
0.634022989,0.85,0.085,1.340645395,1.6,0.6L PSTO,,,0.6,0.745909398,,,,,,,,,
0.676551724,0.81,0.081,1.197247706,1.6,0.6L PSTO,,,0.6,0.835249042,,,,,,,,,
0.66908046,1,0.1,1.494588559,1.8,0.6L PSTO,,,0.6,0.66908046,,,,,,,,,
0.684069767,1.05,0.105,1.534931158,1.8,0.6L PSTO,,,0.6,0.651495017,,,,,,,,,
0.690689655,1.03,0.103,1.491263105,1.8,0.6L PSTO,,,0.6,0.670572481,,,,,,,,,
0.719186047,1.21,0.121,1.682457559,2,0.6L PSTO,,,0.6,0.594368633,,,,,,,,,
0.705348837,1.24,0.124,1.757995384,2,0.6L PSTO,,,0.6,0.568829707,,,,,,,,,
0.71872093,1.22,0.122,1.697459958,2,0.6L PSTO,,,0.6,0.589115517,,,,,,,,,
0.74755814,1.29,0.129,1.725618292,2.2,0.6L PSTO,,,0.6,0.579502434,,,,,,,,,
0.72755814,1.29,0.129,1.773054179,2.2,0.6L PSTO,,,0.6,0.563998558,,,,,,,,,
0.787764706,1.4,0.14,1.777180406,2.4,0.6L PSTO,,,0.6,0.562689076,,,,,,,,,
0.813411765,1.36,0.136,1.671969916,2.4,0.6L PSTO,,,0.6,0.598096886,,,,,,,,,
0.812941176,1.35,0.135,1.660636758,2.4,0.6L PSTO,,,0.6,0.602178649,,,,,,,,,
